invoice_id,customer_id,customer_name,amount,due_date,days_to_due,risk_band,reasons
INV-2269,C-07,Saltmarsh Media,6440.05,2026-09-05,10,medium,100% of this customer's past invoices paid late (avg 21d late)
INV-2377,C-11,Ingleby Transport,24021.85,2026-09-07,12,medium,31% of this customer's past invoices paid late; agent currently holding this invoice: reply 09_reply classified as bounce (delivery-failure signal in sender/subject/body); automated cadence frozen for INV-2377 pending human resolution
INV-2358,C-10,Thackeray Advisory,15098.72,2026-09-08,13,medium,100% of this customer's past invoices paid late (avg 36d late)
INV-2432,C-12,Woodvale Systems,8663.34,2026-09-13,18,medium,73% of this customer's past invoices paid late (avg 23d late)
INV-2270,C-07,Saltmarsh Media,7288.97,2026-09-15,20,medium,100% of this customer's past invoices paid late (avg 21d late)
INV-2179,C-05,Ardley & Sons,245.10,2026-09-18,23,medium,100% of this customer's past invoices paid late (avg 70d late)
INV-2288,C-08,Kesteven Industrial,78678.57,2026-09-18,23,medium,100% of this customer's past invoices paid late (avg 15d late)
INV-2161,C-04,Vantage Metalworks,7045.90,2026-09-22,27,medium,"47% of this customer's past invoices paid late; agent currently holding this invoice: reply 20_reply classified as wrong_reference (customer disputes the invoice/PO identifier itself, not the underlying debt); automated cadence frozen for INV-2161 pending human resolution"
INV-2088,C-02,Cormack Retail Group,8810.58,2026-09-23,28,medium,100% of this customer's past invoices paid late (avg 25d late)
INV-2360,C-10,Thackeray Advisory,13046.71,2026-09-25,30,medium,100% of this customer's past invoices paid late (avg 36d late)
INV-2125,C-03,Perrin Life Sciences,17543.97,2026-09-29,34,medium,53% of this customer's past invoices paid late (avg 23d late)
INV-2126,C-03,Perrin Life Sciences,34177.59,2026-10-01,36,medium,53% of this customer's past invoices paid late (avg 23d late)
INV-2359,C-10,Thackeray Advisory,10049.40,2026-10-05,40,medium,100% of this customer's past invoices paid late (avg 36d late)
INV-2180,C-05,Ardley & Sons,329.62,2026-10-21,56,medium,100% of this customer's past invoices paid late (avg 70d late)
INV-2324,C-09,Dunmore Foods,6758.56,2026-09-07,12,low,38% of this customer's past invoices paid late
INV-2034,C-01,Halvorsen Logistics,25319.36,2026-09-10,15,low,clean payment history (0% late historically)
INV-2162,C-04,Vantage Metalworks,12659.32,2026-09-16,21,low,47% of this customer's past invoices paid late
INV-2323,C-09,Dunmore Foods,9765.80,2026-09-16,21,low,38% of this customer's past invoices paid late
INV-2232,C-06,Northbrook Health,21017.91,2026-09-22,27,low,28% of this customer's past invoices paid late
INV-2035,C-01,Halvorsen Logistics,10790.74,2026-09-28,33,low,clean payment history (0% late historically)
INV-2036,C-01,Halvorsen Logistics,24842.03,2026-10-03,38,low,clean payment history (0% late historically)
INV-2234,C-06,Northbrook Health,27473.79,2026-10-06,41,low,28% of this customer's past invoices paid late
INV-2233,C-06,Northbrook Health,25303.99,2026-10-09,44,low,28% of this customer's past invoices paid late
INV-2378,C-11,Ingleby Transport,17815.97,2026-10-19,54,low,31% of this customer's past invoices paid late
